"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"Z9RS95XG","journalArticle","","Lankinen Kaisu, Saari Jukka","Consistency and similarity of MEG- and fMRI-signal time courses during movie viewing","","","","10.1016/j.neuroimage.2018.02.045","","Movie viewing allows human perception and cognition to be studied in complex, real-life-like situations in a brain-imaging laboratory. Previous studies with functional magnetic resonance imaging (fMRI) and with magneto-and electroencephalography (MEG and EEG) have demonstrated consistent temporal dynamics of brain activity across movie viewers. However, little is known about the similarities and differences of fMRI and MEG or EEG dynamics during such naturalistic situations.We thus compared MEG and fMRI responses to the same 15-min black-and-white movie in the same eight subjects who watched the movie twice during both MEG and fMRI recordings. We analyzed intra-and intersubject voxel-wise correlations within each imaging modality as well as the correlation of the MEG envelopes and fMRI signals. The fMRI signals showed voxel-wise within-and between-subjects correlations up to r = 0.66 and r = 0.37, respectively, whereas these correlations were clearly weaker for the envelopes of band-pass filtered (7 frequency bands below 100 Hz) MEG signals (within-subjects correlation r < 0.14 and between-subjects r < 0.05). Direct MEG-fMRI voxel-wise correlations were unreliable. Notably, applying a spatial-filtering approach to the MEG data uncovered consistent canonical variates that showed considerably stronger (up to r = 0.25) between-subjects correlations than the univariate voxel-wise analysis. Furthermore, the envelopes of the time courses of these variates up to about 10 Hz showed association with fMRI signals in a general linear model. Similarities between envelopes of MEG canonical variates and fMRI voxel time-courses were seen mostly in occipital, but also in temporal and frontal brain regions, whereas intra-and intersubject correlations for MEG and fMRI separately were strongest only in the occipital areas.In contrast to the conventional univariate analysis, the spatial-filtering approach was able to uncover associations between the MEG envelopes and fMRI time courses, shedding light on the similarities of hemodynamic and electromagnetic brain activities during movie viewing.","","2023-11-10 12:46:24","2023-12-01 15:09:23","","","","","","","","","","","","","","","","","","","","","","PMID: 29486325.0","","","","EEG/MEG; fMRI; Recording Technique; Relevent Reviews","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7KXAJL5Z","journalArticle","","Liu Xingyu, Dai Yuxuan","A studyforrest extension, MEG recordings while watching the audio-visual movie Forrest Gump","","","","10.1038/s41597-022-01299-1","","Naturalistic stimuli, such as movies, are being increasingly used to map brain function because of their high ecological validity. The pioneering studyforrest and other naturalistic neuroimaging projects have provided free access to multiple movie-watching functional magnetic resonance imaging (fMRI) datasets to prompt the community for naturalistic experimental paradigms. However, sluggish blood-oxygenation-level-dependent fMRI signals are incapable of resolving neuronal activity with the temporal resolution at which it unfolds. Instead, magnetoencephalography (MEG) measures changes in the magnetic field produced by neuronal activity and is able to capture rich dynamics of the brain at the millisecond level while watching naturalistic movies. Herein, we present the first public prolonged MEG dataset collected from 11 participants while watching the 2 h long audio-visual movie Forrest Gump. Minimally preprocessed data was also provided to facilitate the use of the dataset. As a studyforrest extension, we envision that this dataset, together with fMRI data from the studyforrest project, will serve as a foundation for exploring the neural dynamics of various cognitive functions in real-world contexts.","","2023-11-10 12:46:24","2023-12-01 15:06:08","","","","","","","","","","","","","","","","","","","","","","PMID: 35562378.0","","","","Dataset; OUT-OF-SCOPE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIKHBTSL","journalArticle","","Bonmassar G, Schwartz DP","Spatiotemporal brain imaging of visual-evoked activity using interleaved EEG and fMRI recordings","","","","10.1006/nimg.2001.0754","","Combined analysis of electroencephalography (EEG) and functional magnetic resonance imaging (fMRI) has the potential to provide higher spatiotemporal resolution than either method alone. In some situations, in which the activity of interest cannot be reliably reproduced (e,g., epilepsy, learning, sleep states), accurate combined analysis requires simultaneous acquisition of EEG and fMRI. Simultaneous measurements ensure that the EEG and fMRI recordings reflect the exact same brain activity state. We took advantage of the spatial filtering properties of the bipolar montage to allow recording of very short (125-250 ms) visual-evoked potentials (VEPs) during fMRI, These EEG and fMRI measurements are of sufficient quality to allow source localization of the cortical generators. m addition, our source localization approach provides a combined EEG/fMRI analysis that does not require any manual selection of fMRI activations or placement of source dipoles, The source of the VEP was found to be located in the occipital cortex, Separate analysis of EEG and fMRI data demonstrated good spatial overlap of the observed activated sites. ks expected, the combined EEG/fMRI analysis provided better spatiotemporal resolution than either approach alone. The resulting spatiotemporal movie allows for the millisecond-to-millisecond display of changes in cortical activity caused by visual stimulation. These data reveal two peaks in activity corresponding to the N75 and the P100 components. This type of simultaneous acquisition and analysis allows for the accurate characterization of the location and timing of neurophysiological activity in the human brain, (C) 2001 Academic Press.","","2023-11-10 12:46:24","2023-11-10 12:46:24","","","","","","","","","","","","","","","","","","","","","","PMID: 11352609.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45Z4PYVE","journalArticle","","Eickhoff Simon B., Milham Michael","Towards clinical applications of movie fMRI","","","","10.1016/j.neuroimage.2020.116860","","nan","","2023-11-10 12:46:24","2023-11-10 12:46:24","","","","","","","","","","","","","","","","","","","","","","PMID: 32376301.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WCUVARR8","journalArticle","","Stroman Patrick W., Coe Brian C.","Influence of attention focus on neural activity in the human spinal cord during thermal sensory stimulation","","","","10.1016/j.mri.2010.07.012","","Perceptions of sensation and pain in healthy people are believed to be the net result of sensory input and descending modulation from brainstem and cortical regions depending on emotional and cognitive factors. Here, the influence of attention on neural activity in the spinal cord during thermal sensory stimulation of the hand was investigated with functional magnetic resonance imaging by systematically varying the participants' attention focus across and within repeated studies. Attention states included (1) attention to the stimulus by rating the sensation and (2) attention away from the stimulus by performing various mental tasks of watching a movie and identifying characters, detecting the direction of coherently moving dots within a randomly moving visual field and answering mentally-challenging questions. Functional MRI results spanning the cervical spinal cord and brainstem consistently demonstrated that the attention state had a significant influence on the activity detected in the cervical spinal cord, as well as in brainstem regions involved with the descending analgesia system. These findings have important implications for the detection and study of pain, and improved characterization of the effects of injury or disease. (C) 2011 Elsevier Inc. All rights reserved.","","2023-11-10 12:46:24","2023-11-10 12:46:24","","","","","","","","","","","","","","","","","","","","","","PMID: 20850240.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2KSFFAPQ","journalArticle","","Mukamel R, Gelbard H.","Coupling between neuronal firing, field potentials, and fMR1 in human auditory cortex","","","","10.1126/science.1110913","","Functional magnetic resonance imaging (fMRI) is an important tool. for investigating human brain function, but the relationship between the hemodynamicatly based fMRI signals in the human brain and the underlying neuronal activity is unclear. We recorded single unit activity and local field potentials in auditory cortex of two neurosurgical patients and compared them with the fMRI signals of 11 healthy subjects during presentation of an identical movie segment. The predicted fMRI signals derived from single units and the measured fMRI signals from auditory cortex showed a highly significant correlation (r = 0.7S, P <10(-47)). Thus, fMRI signals can provide a reliable measure of the firing rate of human cortical neurons.","","2023-11-10 12:46:24","2023-12-01 15:10:29","","","","","","","","","","","","","","","","","","","","","","PMID: 16081741.0","","","","fMRI; Intra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HNK3IKSP","journalArticle","","Seok Ji-Woo, Cheong Chaejoon","Dynamic Causal Modeling of Effective Connectivity During Anger Experience in Healthy Young Men: 7T Magnetic Resonance Imaging Study","","","","10.5709/acp-0256-7","","Little is known about how anger-associated brain regions integrate and modulate external input. Therefore, we investigated the neural connectivity architecture of anger processing using a dynamic causal modeling (DCM) approach. Thirteen subjects underwent functional magnetic resonance imaging (fMRI) while viewing anger-inducing film clips. Conventional fMRI and DCM analyses were conducted to identify a dominant connectivity model. Viewing anger-inducing film clips led to activation in the left superior temporal gyrus, left insula, and left orbitofrontal cortex (OK). The results of a group-level comparison of eight connectivity models based on conventional fMRI findings showed superiority of the model including reciprocal effective connectivities between the left insula, left superior temporal gyrus, and left orbitofrontal gyrus and bottom-up connectivity from the left superior temporal gyrus to the left orbitofrontal gyrus. Positive coupling effects were identified for connectivities between the left superior temporal gyrus and left insula and the left superior temporal gyrus and left OFC. A negative coupling effect was identified for connectivity between the left OFC and left insula. In conclusion, we propose a model of effective connectivity associated with the anger experience based on dynamic causal modeling. The findings have implications for various psychiatric disorders related to abnormalities in anger processing.","","2023-11-10 12:46:24","2023-12-01 15:12:44","","","","","","","","","","","","","","","","","","","","","","PMID: 32537036.0","","","","fMRI; Functional Connectivity; Short Clips","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5P47CUQD","journalArticle","","Lankinen K., Saari J.","Intersubject consistency of cortical MEG signals during movie viewing","","","","10.1016/j.neuroimage.2014.02.004","","According to recent functional magnetic resonance imaging (fMRI) studies, spectators of a movie may share similar spatiotemporal patterns of brain activity. We aimed to extend these findings of intersubject correlation to temporally accurate single-trial magnetoencephalography (MEG). A silent 15-min black-and-white movie was shown to eight subjects twice. We adopted a spatial filtering model and estimated its parameter values by using multi-set canonical correlation analysis (M-CCA) so that the intersubject correlation was maximized. The procedure resulted in multiple (mutually uncorrelated) time-courses with statistically significant intersubject correlations at frequencies below 10 Hz; the maximum correlation was 0.28 +/- 0.075 in the <= 1Hz band. Moreover, the 24-Hz frame rate elicited steady-state responses with statistically significant intersubject correlations up to 0.29 +/- 0.12. To assess the brain origin of the across-subjects correlated signals, the time-courses were correlated with minimum-norm source current estimates (MNEs) projected to the cortex. The time series implied across-subjects synchronous activity in the early visual, posterior and inferior parietal, lateral temporooccipital, and motor cortices, and in the superior temporal sulcus (STS) bilaterally. These findings demonstrate the capability of the proposed methodology to uncover cortical MEG signatures from single-trial signals that are consistent across spectators of a movie. (C) 2014 The Authors. Published by Elsevier Inc.","","2023-11-10 12:46:24","2023-11-10 12:46:24","","","","","","","","","","","","","","","","","","","","","","PMID: 24531052.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EANX6WMS","journalArticle","","Nag Sayan, Uludag Kamil","Dynamic Effective Connectivity using Physiologically informed Dynamic Causal Model with Recurrent Units: A functional Magnetic Resonance Imaging simulation study","","","","10.3389/fnhum.2023.1001848","","Functional MRI (fMRI) is an indirect reflection of neuronal activity. Using generative biophysical model of fMRI data such as Dynamic Causal Model (DCM), the underlying neuronal activities of different brain areas and their causal interactions (i.e., effective connectivity) can be calculated. Most DCM studies typically consider the effective connectivity to be static for a cognitive task within an experimental run. However, changes in experimental conditions during complex tasks such as movie-watching might result in temporal variations in the connectivity strengths. In this fMRI simulation study, we leverage state-of-the-art Physiologically informed DCM (P-DCM) along with a recurrent window approach and discretization of the equations to infer the underlying neuronal dynamics and concurrently the dynamic (time-varying) effective connectivities between various brain regions for task-based fMRI. Results from simulation studies on 3- and 10-region models showed that functional magnetic resonance imaging (fMRI) blood oxygenation level-dependent (BOLD) responses and effective connectivity time-courses can be accurately predicted and distinguished from faulty graphical connectivity models representing cognitive hypotheses. In summary, we propose and validate a novel approach to determine dynamic effective connectivity between brain areas during complex cognitive tasks by combining P-DCM with recurrent units.","","2023-11-10 12:46:24","2023-12-01 15:12:46","","","","","","","","","","","","","","","","","","","","","","PMID: 36936613.0","","","","fMRI; Functional Connectivity; Short Clips","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZW3ZKH54","journalArticle","","Lahnakoski Juha M., Glerean Enrico","Synchronous brain activity across individuals underlies shared psychological perspectives","","","","10.1016/j.neuroimage.2014.06.022","","For successful communication, we need to understand the external world consistently with others. This task requires sufficiently similar cognitive schemas or psychological perspectives that act as filters to guide the selection, interpretation and storage of sensory information, perceptual objects and events. Here we show that when individuals adopt a similar psychological perspective during natural viewing, their brain activity becomes synchronized in specific brain regions. We measured brain activity with functional magnetic resonance imaging (fMRI) from 33 healthy participants who viewed a 10-min movie twice, assuming once a 'social' (detective) and once a 'non-social' (interior decorator) perspective to the movie events. Pearson's correlation coefficient was used to derive multisubject voxelwise similarity measures (inter-subject correlations; ISCs) of functional MRI data. We used k-nearest-neighbor and support vector machine classifiers as well as a Mantel test on the ISC matrices to reveal brain areas wherein ISC predicted the participants' current perspective. ISC was stronger in several brain regions-most robustly in the parahippocampal gyrus, posterior parietal cortex and lateral occipital cortex-when the participants viewed the movie with similar rather than different perspectives. Synchronization was not explained by differences in visual sampling of the movies, as estimated by eye gaze. We propose that synchronous brain activity across individuals adopting similar psychological perspectives could be an important neural mechanism supporting shared understanding of the environment. (C) 2014 The Authors. Published by Elsevier Inc.","","2023-11-10 12:46:24","2023-11-10 12:46:24","","","","","","","","","","","","","","","","","","","","","","PMID: 24936687.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
