PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37885127","Prediction of individual brain age using movie and resting-state fMRI","Bi S, Guan Y, Tian L.","Cereb Cortex. 2023 Oct 26:bhad407. doi: 10.1093/cercor/bhad407. Online ahead of print.","Bi S","Cereb Cortex","2023","2023/10/27","","","10.1093/cercor/bhad407"
"37806102","Neural envelope tracking predicts speech intelligibility and hearing aid benefit in children with hearing loss","Van Hirtum T, Somers B, Dieudonné B, Verschueren E, Wouters J, Francart T.","Hear Res. 2023 Oct 4;439:108893. doi: 10.1016/j.heares.2023.108893. Online ahead of print.","Van Hirtum T","Hear Res","2023","2023/10/08","","","10.1016/j.heares.2023.108893"
"37752389","Theta EEG neurofeedback promotes early consolidation of real life-like episodic memory","Rozengurt R, Kuznietsov I, Kachynska T, Kozachuk N, Abramchuk O, Zhuravlov O, Mendelsohn A, Levy DA.","Cogn Affect Behav Neurosci. 2023 Sep 26. doi: 10.3758/s13415-023-01125-0. Online ahead of print.","Rozengurt R","Cogn Affect Behav Neurosci","2023","2023/09/26","","","10.3758/s13415-023-01125-0"
"37562718","Arousal modulates the amygdala-insula reciprocal connectivity during naturalistic emotional movie watching","Wang L, Hu X, Ren Y, Lv J, Zhao S, Guo L, Liu T, Han J.","Neuroimage. 2023 Oct 1;279:120316. doi: 10.1016/j.neuroimage.2023.120316. Epub 2023 Aug 9.","Wang L","Neuroimage","2023","2023/08/10","","","10.1016/j.neuroimage.2023.120316"
"37480715","Individual differences in time-varying and stationary brain connectivity during movie watching from childhood to early adulthood: Age, sex, and behavioral associations","Di X, Xu T, Uddin LQ, Biswal BB.","Dev Cogn Neurosci. 2023 Oct;63:101280. doi: 10.1016/j.dcn.2023.101280. Epub 2023 Jul 17.","Di X","Dev Cogn Neurosci","2023","2023/07/22","PMC10393546","","10.1016/j.dcn.2023.101280"
"37460223","Exploring the Neural Processes behind Narrative Engagement: An EEG Study","Dini H, Simonetti A, Bruni LE.","eNeuro. 2023 Jul 17;10(7):ENEURO.0484-22.2023. doi: 10.1523/ENEURO.0484-22.2023. Print 2023 Jul.","Dini H","eNeuro","2023","2023/07/17","PMC10353752","","10.1523/ENEURO.0484-22.2023"
"37449983","Gaze patterns and brain activations in humans and marmosets in the Frith-Happé theory-of-mind animation task","Dureux A, Zanini A, Selvanayagam J, Menon RS, Everling S.","Elife. 2023 Jul 14;12:e86327. doi: 10.7554/eLife.86327.","Dureux A","Elife","2023","2023/07/14","PMC10435231","","10.7554/eLife.86327"
"37434763","Beta-band differences in primary motor cortex between media and non-media professionals when watching motor actions in movies","Andreu-Sánchez C, Martín-Pascual MÁ, Gruart A, Delgado-García JM.","Front Neurosci. 2023 Jun 26;17:1204809. doi: 10.3389/fnins.2023.1204809. eCollection 2023.","Andreu-Sánchez C","Front Neurosci","2023","2023/07/12","PMC10330722","","10.3389/fnins.2023.1204809"
"37061128","Intracranial study in humans: Neural spectral changes during watching comedy movie of Charlie Chaplin","Axelrod V, Rozier C, Sohier E, Lehongre K, Adam C, Lambrecq V, Navarro V, Naccache L.","Neuropsychologia. 2023 Jul 4;185:108558. doi: 10.1016/j.neuropsychologia.2023.108558. Epub 2023 Apr 14.","Axelrod V","Neuropsychologia","2023","2023/04/15","","","10.1016/j.neuropsychologia.2023.108558"
"36958619","Functional organization of social perception networks in the human brain","Santavirta S, Karjalainen T, Nazari-Farsani S, Hudson M, Putkinen V, Seppälä K, Sun L, Glerean E, Hirvonen J, Karlsson HK, Nummenmaa L.","Neuroimage. 2023 May 15;272:120025. doi: 10.1016/j.neuroimage.2023.120025. Epub 2023 Mar 22.","Santavirta S","Neuroimage","2023","2023/03/23","PMC10112277","","10.1016/j.neuroimage.2023.120025"
"36936613","Dynamic Effective Connectivity using Physiologically informed Dynamic Causal Model with Recurrent Units: A functional Magnetic Resonance Imaging simulation study","Nag S, Uludag K.","Front Hum Neurosci. 2023 Mar 1;17:1001848. doi: 10.3389/fnhum.2023.1001848. eCollection 2023.","Nag S","Front Hum Neurosci","2023","2023/03/20","PMC10014816","","10.3389/fnhum.2023.1001848"
"36848968","Mixed emotions to social situations: An fMRI investigation","Murray RJ, Kreibig SD, Pehrs C, Vuilleumier P, Gross JJ, Samson AC.","Neuroimage. 2023 May 1;271:119973. doi: 10.1016/j.neuroimage.2023.119973. Epub 2023 Feb 26.","Murray RJ","Neuroimage","2023","2023/02/27","","","10.1016/j.neuroimage.2023.119973"
"36778481","Individual differences in time-varying and stationary brain connectivity during movie watching from childhood to early adulthood: age, sex, and behavioral associations","Di X, Xu T, Uddin LQ, Biswal BB.","bioRxiv. 2023 Jun 14:2023.01.30.526311. doi: 10.1101/2023.01.30.526311. Preprint.","Di X","bioRxiv","2023","2023/02/13","PMC9915503","","10.1101/2023.01.30.526311"
"36773282","Pattern recognition reveals sex-dependent neural substrates of sexual perception","Putkinen V, Nazari-Farsani S, Karjalainen T, Santavirta S, Hudson M, Seppälä K, Sun L, Karlsson HK, Hirvonen J, Nummenmaa L.","Hum Brain Mapp. 2023 Apr 15;44(6):2543-2556. doi: 10.1002/hbm.26229. Epub 2023 Feb 11.","Putkinen V","Hum Brain Mapp","2023","2023/02/11","PMC10028630","","10.1002/hbm.26229"
"36704727","Neural correlates of emotion acceptance and suppression in borderline personality disorder","Fernando SC, Beblo T, Lamers A, Schlosser N, Woermann FG, Driessen M, Toepper M.","Front Psychiatry. 2023 Jan 10;13:1066218. doi: 10.3389/fpsyt.2022.1066218. eCollection 2022.","Fernando SC","Front Psychiatry","2023","2023/01/27","PMC9871986","","10.3389/fpsyt.2022.1066218"
