PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37562718","Arousal modulates the amygdala-insula reciprocal connectivity during naturalistic emotional movie watching","Wang L, Hu X, Ren Y, Lv J, Zhao S, Guo L, Liu T, Han J.","Neuroimage. 2023 Oct 1;279:120316. doi: 10.1016/j.neuroimage.2023.120316. Epub 2023 Aug 9.","Wang L","Neuroimage","2023","2023/08/10","","","10.1016/j.neuroimage.2023.120316"
"37460223","Exploring the Neural Processes behind Narrative Engagement: An EEG Study","Dini H, Simonetti A, Bruni LE.","eNeuro. 2023 Jul 17;10(7):ENEURO.0484-22.2023. doi: 10.1523/ENEURO.0484-22.2023. Print 2023 Jul.","Dini H","eNeuro","2023","2023/07/17","PMC10353752","","10.1523/ENEURO.0484-22.2023"
"37296131","Waves traveling over a map of visual space can ignite short-term predictions of sensory input","Benigno GB, Budzinski RC, Davis ZW, Reynolds JH, Muller L.","Nat Commun. 2023 Jun 9;14(1):3409. doi: 10.1038/s41467-023-39076-2.","Benigno GB","Nat Commun","2023","2023/06/09","PMC10256723","","10.1038/s41467-023-39076-2"
"37214802","Microscale acoustic metamaterials as conformal sonotransparent skull prostheses","Kim G, Rabut C, Ling B, Shapiro M, Daraio C.","Res Sq. 2023 May 10:rs.3.rs-2743580. doi: 10.21203/rs.3.rs-2743580/v1. Preprint.","Kim G","Res Sq","2023","2023/05/22","PMC10197820","","10.21203/rs.3.rs-2743580/v1"
"36556891","Non-Volatile Memory and Synaptic Characteristics of TiN/CeO(x)/Pt RRAM Devices","Ha H, Pyo J, Lee Y, Kim S.","Materials (Basel). 2022 Dec 19;15(24):9087. doi: 10.3390/ma15249087.","Ha H","Materials (Basel)","2022","2022/12/23","PMC9786700","","10.3390/ma15249087"
"35840823","Classifying oscillatory brain activity associated with Indian Rasas using network metrics","Pandey P, Tripathi R, Miyapuram KP.","Brain Inform. 2022 Jul 15;9(1):15. doi: 10.1186/s40708-022-00163-7.","Pandey P","Brain Inform","2022","2022/07/15","PMC9287523","","10.1186/s40708-022-00163-7"
"35680054","Act natural: Functional connectivity from naturalistic stimuli fMRI outperforms resting-state in predicting brain activity","Gal S, Coldham Y, Tik N, Bernstein-Eliav M, Tavor I.","Neuroimage. 2022 Sep;258:119359. doi: 10.1016/j.neuroimage.2022.119359. Epub 2022 Jun 6.","Gal S","Neuroimage","2022","2022/06/09","","","10.1016/j.neuroimage.2022.119359"
"35344336","Cerebrospinal Fluid-philic and Biocompatibility-Enhanced Soft Cranial Window for Long-Term In Vivo Brain Imaging","Kim JU, Park H, Ok J, Lee J, Jung W, Kim J, Kim J, Kim S, Kim YH, Suh M, Kim TI.","ACS Appl Mater Interfaces. 2022 Apr 6;14(13):15035-15046. doi: 10.1021/acsami.2c01929. Epub 2022 Mar 28.","Kim JU","ACS Appl Mater Interfaces","2022","2022/03/28","","","10.1021/acsami.2c01929"
"35332915","The role of eye-specific attention in ocular dominance plasticity","Song F, Lyu L, Zhao J, Bao M.","Cereb Cortex. 2023 Feb 7;33(4):983-996. doi: 10.1093/cercor/bhac116.","Song F","Cereb Cortex","2023","2022/03/25","PMC9930618","","10.1093/cercor/bhac116"
"35244856","Inferring Brain State Dynamics Underlying Naturalistic Stimuli Evoked Emotion Changes With dHA-HMM","Tan C, Liu X, Zhang G.","Neuroinformatics. 2022 Jul;20(3):737-753. doi: 10.1007/s12021-022-09568-5. Epub 2022 Mar 4.","Tan C","Neuroinformatics","2022","2022/03/04","","","10.1007/s12021-022-09568-5"
"34858157","Single-Trial MEG Data Can Be Denoised Through Cross-Subject Predictive Modeling","Ravishankar S, Toneva M, Wehbe L.","Front Comput Neurosci. 2021 Nov 11;15:737324. doi: 10.3389/fncom.2021.737324. eCollection 2021.","Ravishankar S","Front Comput Neurosci","2021","2021/12/03","PMC8632362","","10.3389/fncom.2021.737324"
"34611185","Exploring﻿ electroencephalography with a model inspired by quantum mechanics","Popiel NJM, Metrow C, Laforge G, Owen AM, Stojanoski B, Soddu A.","Sci Rep. 2021 Oct 5;11(1):19771. doi: 10.1038/s41598-021-97960-7.","Popiel NJM","Sci Rep","2021","2021/10/06","PMC8492705","","10.1038/s41598-021-97960-7"
"34278616","A Stretchable and Transparent Electrode Based on PEGylated Silk Fibroin for In Vivo Dual-Modal Neural-Vascular Activity Probing","Cui Y, Zhang F, Chen G, Yao L, Zhang N, Liu Z, Li Q, Zhang F, Cui Z, Zhang K, Li P, Cheng Y, Zhang S, Chen X.","Adv Mater. 2021 Aug;33(34):e2100221. doi: 10.1002/adma.202100221. Epub 2021 Jul 18.","Cui Y","Adv Mater","2021","2021/07/19","","","10.1002/adma.202100221"
"34049888","Cortical response to naturalistic stimuli is largely predictable with deep neural networks","Khosla M, Ngo GH, Jamison K, Kuceyeski A, Sabuncu MR.","Sci Adv. 2021 May 28;7(22):eabe7547. doi: 10.1126/sciadv.abe7547. Print 2021 May.","Khosla M","Sci Adv","2021","2021/05/29","PMC8163078","","10.1126/sciadv.abe7547"
"33980852","Bidirectional propagation of low frequency oscillations over the human hippocampal surface","Kleen JK, Chung JE, Sellers KK, Zhou J, Triplett M, Lee K, Tooker A, Haque R, Chang EF.","Nat Commun. 2021 May 12;12(1):2764. doi: 10.1038/s41467-021-22850-5.","Kleen JK","Nat Commun","2021","2021/05/13","PMC8115072","","10.1038/s41467-021-22850-5"
"33977054","MRI-Compatible and Conformal Electrocorticography Grids for Translational Research","Fallegger F, Schiavone G, Pirondini E, Wagner FB, Vachicouras N, Serex L, Zegarek G, May A, Constanthin P, Palma M, Khoshnevis M, Van Roost D, Yvert B, Courtine G, Schaller K, Bloch J, Lacour SP.","Adv Sci (Weinh). 2021 Mar 8;8(9):2003761. doi: 10.1002/advs.202003761. eCollection 2021 May.","Fallegger F","Adv Sci (Weinh)","2021","2021/05/12","PMC8097365","","10.1002/advs.202003761"
"33884953","Anticipation of temporally structured events in the brain","Lee CS, Aly M, Baldassano C.","Elife. 2021 Apr 22;10:e64972. doi: 10.7554/eLife.64972.","Lee CS","Elife","2021","2021/04/22","PMC8169103","","10.7554/eLife.64972"
"33732435","A studyforrest extension, an annotation of spoken language in the German dubbed movie ""Forrest Gump"" and its audio-description","Häusler CO, Hanke M.","F1000Res. 2021 Jan 28;10:54. doi: 10.12688/f1000research.27621.1. eCollection 2021.","Häusler CO","F1000Res","2021","2021/03/18","PMC7921887","","10.12688/f1000research.27621.1"
"33566763","Functional Behavior of the Primary Cortical Neuronal Cells on the Large Surface of TiO₂ and SnO₂ Based Biosensing Device","Kasiviswanathan U, Kumar C, Poddar S, Jit S, Sharma N, Mahto SK.","IEEE Trans Nanobioscience. 2021 Apr;20(2):138-145. doi: 10.1109/TNB.2021.3058332. Epub 2021 Mar 31.","Kasiviswanathan U","IEEE Trans Nanobioscience","2021","2021/02/10","","","10.1109/TNB.2021.3058332"
"33229530","Aging and the encoding of changes in events: The role of neural activity pattern reinstatement","Stawarczyk D, Wahlheim CN, Etzel JA, Snyder AZ, Zacks JM.","Proc Natl Acad Sci U S A. 2020 Nov 24;117(47):29346-29353. doi: 10.1073/pnas.1918063117.","Stawarczyk D","Proc Natl Acad Sci U S A","2020","2020/11/24","PMC7703536","","10.1073/pnas.1918063117"
"32769969","Aging alters neural activity at event boundaries in the hippocampus and Posterior Medial network","Reagh ZM, Delarazan AI, Garber A, Ranganath C.","Nat Commun. 2020 Aug 7;11(1):3980. doi: 10.1038/s41467-020-17713-4.","Reagh ZM","Nat Commun","2020","2020/08/10","PMC7414222","","10.1038/s41467-020-17713-4"
"32376301","Towards clinical applications of movie fMRI","Eickhoff SB, Milham M, Vanderwal T.","Neuroimage. 2020 Aug 15;217:116860. doi: 10.1016/j.neuroimage.2020.116860. Epub 2020 May 4.","Eickhoff SB","Neuroimage","2020","2020/05/08","","","10.1016/j.neuroimage.2020.116860"
"32194085","Representation of viewed and recalled film clips in patterns of brain activity in a person with developmental amnesia","St-Laurent M, Rosenbaum RS, Olsen RK, Buchsbaum BR.","Neuropsychologia. 2020 May;142:107436. doi: 10.1016/j.neuropsychologia.2020.107436. Epub 2020 Mar 16.","St-Laurent M","Neuropsychologia","2020","2020/03/21","","","10.1016/j.neuropsychologia.2020.107436"
"32180695","Stimulus Driven Single Unit Activity From Micro-Electrocorticography","Hermiz J, Hossain L, Arneodo EM, Ganji M, Rogers N, Vahidi N, Halgren E, Gentner TQ, Dayeh SA, Gilja V.","Front Neurosci. 2020 Feb 28;14:55. doi: 10.3389/fnins.2020.00055. eCollection 2020.","Hermiz J","Front Neurosci","2020","2020/03/18","PMC7059620","","10.3389/fnins.2020.00055"
"31958582","Four-dimensional map of direct effective connectivity from posterior visual areas","Sugiura A, Silverstein BH, Jeong JW, Nakai Y, Sonoda M, Motoi H, Asano E.","Neuroimage. 2020 Apr 15;210:116548. doi: 10.1016/j.neuroimage.2020.116548. Epub 2020 Jan 17.","Sugiura A","Neuroimage","2020","2020/01/21","PMC7054169","NIHMS1552223","10.1016/j.neuroimage.2020.116548"
"31619546","Microstructured thin-film electrode technology enables proof of concept of scalable, soft auditory brainstem implants","Vachicouras N, Tarabichi O, Kanumuri VV, Tringides CM, Macron J, Fallegger F, Thenaisie Y, Epprecht L, McInturff S, Qureshi AA, Paggi V, Kuklinski MW, Brown MC, Lee DJ, Lacour SP.","Sci Transl Med. 2019 Oct 16;11(514):eaax9487. doi: 10.1126/scitranslmed.aax9487.","Vachicouras N","Sci Transl Med","2019","2019/10/18","","","10.1126/scitranslmed.aax9487"
"29925874","Hippocampal-Temporopolar Connectivity Contributes to Episodic Simulation During Social Cognition","Pehrs C, Zaki J, Taruffi L, Kuchinke L, Koelsch S.","Sci Rep. 2018 Jun 20;8(1):9409. doi: 10.1038/s41598-018-24557-y.","Pehrs C","Sci Rep","2018","2018/06/22","PMC6010422","","10.1038/s41598-018-24557-y"
"29782993","Generalized Recurrent Neural Network accommodating Dynamic Causal Modeling for functional MRI analysis","Wang Y, Wang Y, Lui YW.","Neuroimage. 2018 Sep;178:385-402. doi: 10.1016/j.neuroimage.2018.05.042. Epub 2018 May 18.","Wang Y","Neuroimage","2018","2018/05/22","PMC6084485","NIHMS972307","10.1016/j.neuroimage.2018.05.042"
