PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37806102","Neural envelope tracking predicts speech intelligibility and hearing aid benefit in children with hearing loss","Van Hirtum T, Somers B, Dieudonné B, Verschueren E, Wouters J, Francart T.","Hear Res. 2023 Oct 4;439:108893. doi: 10.1016/j.heares.2023.108893. Online ahead of print.","Van Hirtum T","Hear Res","2023","2023/10/08","","","10.1016/j.heares.2023.108893"
"37765945","A Film Electrode upon Nanoarchitectonics of Bacterial Cellulose and Conductive Fabric for Forehead Electroencephalogram Measurement","Gao K, Wu N, Ji B, Liu J.","Sensors (Basel). 2023 Sep 14;23(18):7887. doi: 10.3390/s23187887.","Gao K","Sensors (Basel)","2023","2023/09/28","PMC10535237","","10.3390/s23187887"
"37763187","Analysis of Degenerative and Isthmic Lumbar Spondylolisthesis from the Difference of Pelvic Parameters and the Degree of Degeneration through Imaging Data","Liu Z, Dai G, Cao Y, Duan C.","J Pers Med. 2023 Sep 21;13(9):1420. doi: 10.3390/jpm13091420.","Liu Z","J Pers Med","2023","2023/09/28","PMC10532549","","10.3390/jpm13091420"
"37752389","Theta EEG neurofeedback promotes early consolidation of real life-like episodic memory","Rozengurt R, Kuznietsov I, Kachynska T, Kozachuk N, Abramchuk O, Zhuravlov O, Mendelsohn A, Levy DA.","Cogn Affect Behav Neurosci. 2023 Sep 26. doi: 10.3758/s13415-023-01125-0. Online ahead of print.","Rozengurt R","Cogn Affect Behav Neurosci","2023","2023/09/26","","","10.3758/s13415-023-01125-0"
"37745529","Charting Aging Trajectories of Knee Cartilage Thickness for Early Osteoarthritis Risk Prediction: An MRI Study from the Osteoarthritis Initiative Cohort","Li T, Luo T, Chen B, Huang C, Shen Z, Xu Z, Nissman D, Golightly YM, Nelson AE, Niethammer M, Zhu H.","medRxiv. 2023 Sep 13:2023.09.12.23295398. doi: 10.1101/2023.09.12.23295398. Preprint.","Li T","medRxiv","2023","2023/09/25","PMC10516090","","10.1101/2023.09.12.23295398"
"37742438","Characterization of theory of mind performance in patients with myotonic dystrophy type 1","Davion JB, Tard C, Kuchcinski G, Fragoso L, Wilu-Wilu A, Maurage P, Nguyen The Tich S, Defebvre L, D'Hondt F, Delbeuck X.","Cortex. 2023 Sep 9;168:181-192. doi: 10.1016/j.cortex.2023.07.008. Online ahead of print.","Davion JB","Cortex","2023","2023/09/24","","","10.1016/j.cortex.2023.07.008"
"37724831","Emotional arousal pattern (EMAP): A new database for modeling momentary subjective and psychophysiological responding to affective stimuli","Eisenbarth H, Oxner M, Shehu HA, Gastrell T, Walsh A, Browne WN, Xue B.","Psychophysiology. 2023 Sep 19:e14446. doi: 10.1111/psyp.14446. Online ahead of print.","Eisenbarth H","Psychophysiology","2023","2023/09/19","","","10.1111/psyp.14446"
"37718160","Functional networks in the infant brain during sleep and wake states","Yates TS, Ellis CT, Turk-Browne NB.","Cereb Cortex. 2023 Sep 16:bhad327. doi: 10.1093/cercor/bhad327. Online ahead of print.","Yates TS","Cereb Cortex","2023","2023/09/17","","","10.1093/cercor/bhad327"
"37639901","Accumbal-thalamic connectivity and associated glutamate alterations in human cocaine craving: A state-dependent rs-fMRI and (1)H-MRS study","Engeli EJE, Russo AG, Ponticorvo S, Zoelch N, Hock A, Hulka LM, Kirschner M, Preller KH, Seifritz E, Quednow BB, Esposito F, Herdener M.","Neuroimage Clin. 2023;39:103490. doi: 10.1016/j.nicl.2023.103490. Epub 2023 Aug 7.","Engeli EJE","Neuroimage Clin","2023","2023/08/28","PMC10474092","","10.1016/j.nicl.2023.103490"
"37598002","Emotion representations in context: maturation and convergence pathways","Qin S.","Trends Cogn Sci. 2023 Oct;27(10):883-885. doi: 10.1016/j.tics.2023.07.009. Epub 2023 Aug 17.","Qin S","Trends Cogn Sci","2023","2023/08/19","","","10.1016/j.tics.2023.07.009"
"37562718","Arousal modulates the amygdala-insula reciprocal connectivity during naturalistic emotional movie watching","Wang L, Hu X, Ren Y, Lv J, Zhao S, Guo L, Liu T, Han J.","Neuroimage. 2023 Oct 1;279:120316. doi: 10.1016/j.neuroimage.2023.120316. Epub 2023 Aug 9.","Wang L","Neuroimage","2023","2023/08/10","","","10.1016/j.neuroimage.2023.120316"
"37554646","Quality control procedures and metrics for resting-state functional MRI","Birn RM.","Front Neuroimaging. 2023 Mar 13;2:1072927. doi: 10.3389/fnimg.2023.1072927. eCollection 2023.","Birn RM","Front Neuroimaging","2023","2023/08/09","PMC10406233","","10.3389/fnimg.2023.1072927"
"37553449","The abilities of movie-watching functional connectivity in individual identifications and individualized predictions","Guan Y, Ma H, Liu J, Xu L, Zhang Y, Tian L.","Brain Imaging Behav. 2023 Aug 9. doi: 10.1007/s11682-023-00785-3. Online ahead of print.","Guan Y","Brain Imaging Behav","2023","2023/08/08","","","10.1007/s11682-023-00785-3"
"37533340","An Ultra-thin MXene Film for Multimodal Sensing of Neuroelectrical Signals with Artifacts Removal","Song D, Li X, Jang M, Lee Y, Zhai Y, Hu W, Yan H, Zhang S, Chen L, Lu C, Kim K, Liu N.","Adv Mater. 2023 Aug 2:e2304956. doi: 10.1002/adma.202304956. Online ahead of print.","Song D","Adv Mater","2023","2023/08/03","","","10.1002/adma.202304956"
"37521689","Cinematographic continuity edits across shot scales and camera angles: an ERP analysis","Sanz-Aznar J, Bruni LE, Soto-Faraco S.","Front Neurosci. 2023 Jul 14;17:1173704. doi: 10.3389/fnins.2023.1173704. eCollection 2023.","Sanz-Aznar J","Front Neurosci","2023","2023/07/31","PMC10375706","","10.3389/fnins.2023.1173704"
"29262105","Foreign Body Imaging","Campbell EA, Wilbert CD.","2023 Jul 30. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2023 Jan–.","Campbell EAWilbert CD","StatPearls","2023","2023/07/30","","",""
"37488720","Effect of stress on spatial working memory and EEG signal dynamics in the follicular and luteal phases of the menstrual cycle in young single girls","Torbaghan ME, Moghimi A, Kobravi HR, Fereidoni M, Bigdeli I.","Brain Behav. 2023 Sep;13(9):e3166. doi: 10.1002/brb3.3166. Epub 2023 Jul 24.","Torbaghan ME","Brain Behav","2023","2023/07/25","PMC10498068","","10.1002/brb3.3166"
"37480715","Individual differences in time-varying and stationary brain connectivity during movie watching from childhood to early adulthood: Age, sex, and behavioral associations","Di X, Xu T, Uddin LQ, Biswal BB.","Dev Cogn Neurosci. 2023 Oct;63:101280. doi: 10.1016/j.dcn.2023.101280. Epub 2023 Jul 17.","Di X","Dev Cogn Neurosci","2023","2023/07/22","PMC10393546","","10.1016/j.dcn.2023.101280"
"37460223","Exploring the Neural Processes behind Narrative Engagement: An EEG Study","Dini H, Simonetti A, Bruni LE.","eNeuro. 2023 Jul 17;10(7):ENEURO.0484-22.2023. doi: 10.1523/ENEURO.0484-22.2023. Print 2023 Jul.","Dini H","eNeuro","2023","2023/07/17","PMC10353752","","10.1523/ENEURO.0484-22.2023"
"37456276","Relationship between lumbar disc herniation and Roussouly classification in the sagittal alignment of the spine and pelvis in young people","Chen X, Shi HG, Wan D, Deng XG, Song SM, Cao M.","Quant Imaging Med Surg. 2023 Jul 1;13(7):4687-4698. doi: 10.21037/qims-22-503. Epub 2023 Feb 20.","Chen X","Quant Imaging Med Surg","2023","2023/07/17","PMC10347315","","10.21037/qims-22-503"
"37449983","Gaze patterns and brain activations in humans and marmosets in the Frith-Happé theory-of-mind animation task","Dureux A, Zanini A, Selvanayagam J, Menon RS, Everling S.","Elife. 2023 Jul 14;12:e86327. doi: 10.7554/eLife.86327.","Dureux A","Elife","2023","2023/07/14","PMC10435231","","10.7554/eLife.86327"
"37447736","A High-Density EEG Study Investigating the Neural Correlates of Continuity Editing Theory in VR Films","Cheng W, Wang X, Zou J, Li M, Tian F.","Sensors (Basel). 2023 Jun 25;23(13):5886. doi: 10.3390/s23135886.","Cheng W","Sensors (Basel)","2023","2023/07/14","PMC10346206","","10.3390/s23135886"
"37434763","Beta-band differences in primary motor cortex between media and non-media professionals when watching motor actions in movies","Andreu-Sánchez C, Martín-Pascual MÁ, Gruart A, Delgado-García JM.","Front Neurosci. 2023 Jun 26;17:1204809. doi: 10.3389/fnins.2023.1204809. eCollection 2023.","Andreu-Sánchez C","Front Neurosci","2023","2023/07/12","PMC10330722","","10.3389/fnins.2023.1204809"
"37400252","Family Cohesion Moderates the Relation between Parent-Child Neural Connectivity Pattern Similarity and Youth's Emotional Adjustment","Zhou Z, Chen YY, Yang B, Qu Y, Lee TH.","J Neurosci. 2023 Aug 16;43(33):5936-5943. doi: 10.1523/JNEUROSCI.0349-23.2023. Epub 2023 Jul 3.","Zhou Z","J Neurosci","2023","2023/07/03","PMC10436682","","10.1523/JNEUROSCI.0349-23.2023"
"37397892","Dynamic interactions between anterior insula and anterior cingulate cortex link perceptual features and heart rate variability during movie viewing","Sonkusare S, Wegner K, Chang C, Dionisio S, Breakspear M, Cocchi L.","Netw Neurosci. 2023 Jun 30;7(2):557-577. doi: 10.1162/netn_a_00295. eCollection 2023.","Sonkusare S","Netw Neurosci","2023","2023/07/03","PMC10312263","","10.1162/netn_a_00295"
"37397459","Mapping the time-varying functional brain networks in response to naturalistic movie stimuli","Song L, Ren Y, Wang K, Hou Y, Nie J, He X.","Front Neurosci. 2023 Jun 16;17:1199150. doi: 10.3389/fnins.2023.1199150. eCollection 2023.","Song L","Front Neurosci","2023","2023/07/03","PMC10311647","","10.3389/fnins.2023.1199150"
"37385988","Predictive neural representations of naturalistic dynamic input","de Vries IEJ, Wurm MF.","Nat Commun. 2023 Jun 29;14(1):3858. doi: 10.1038/s41467-023-39355-y.","de Vries IEJ","Nat Commun","2023","2023/06/29","PMC10310743","","10.1038/s41467-023-39355-y"
"37378009","EEG and peripheral markers of viewer ratings: a study of short films","Kosonogov V, Shelepenkov D, Rudenkiy N.","Front Neurosci. 2023 Jun 12;17:1148205. doi: 10.3389/fnins.2023.1148205. eCollection 2023.","Kosonogov V","Front Neurosci","2023","2023/06/28","PMC10291053","","10.3389/fnins.2023.1148205"
