PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37724831","Emotional arousal pattern (EMAP): A new database for modeling momentary subjective and psychophysiological responding to affective stimuli","Eisenbarth H, Oxner M, Shehu HA, Gastrell T, Walsh A, Browne WN, Xue B.","Psychophysiology. 2023 Sep 19:e14446. doi: 10.1111/psyp.14446. Online ahead of print.","Eisenbarth H","Psychophysiology","2023","2023/09/19","","","10.1111/psyp.14446"
"37639901","Accumbal-thalamic connectivity and associated glutamate alterations in human cocaine craving: A state-dependent rs-fMRI and (1)H-MRS study","Engeli EJE, Russo AG, Ponticorvo S, Zoelch N, Hock A, Hulka LM, Kirschner M, Preller KH, Seifritz E, Quednow BB, Esposito F, Herdener M.","Neuroimage Clin. 2023;39:103490. doi: 10.1016/j.nicl.2023.103490. Epub 2023 Aug 7.","Engeli EJE","Neuroimage Clin","2023","2023/08/28","PMC10474092","","10.1016/j.nicl.2023.103490"
"37562718","Arousal modulates the amygdala-insula reciprocal connectivity during naturalistic emotional movie watching","Wang L, Hu X, Ren Y, Lv J, Zhao S, Guo L, Liu T, Han J.","Neuroimage. 2023 Oct 1;279:120316. doi: 10.1016/j.neuroimage.2023.120316. Epub 2023 Aug 9.","Wang L","Neuroimage","2023","2023/08/10","","","10.1016/j.neuroimage.2023.120316"
"37480715","Individual differences in time-varying and stationary brain connectivity during movie watching from childhood to early adulthood: Age, sex, and behavioral associations","Di X, Xu T, Uddin LQ, Biswal BB.","Dev Cogn Neurosci. 2023 Oct;63:101280. doi: 10.1016/j.dcn.2023.101280. Epub 2023 Jul 17.","Di X","Dev Cogn Neurosci","2023","2023/07/22","PMC10393546","","10.1016/j.dcn.2023.101280"
"37460223","Exploring the Neural Processes behind Narrative Engagement: An EEG Study","Dini H, Simonetti A, Bruni LE.","eNeuro. 2023 Jul 17;10(7):ENEURO.0484-22.2023. doi: 10.1523/ENEURO.0484-22.2023. Print 2023 Jul.","Dini H","eNeuro","2023","2023/07/17","PMC10353752","","10.1523/ENEURO.0484-22.2023"
"37397892","Dynamic interactions between anterior insula and anterior cingulate cortex link perceptual features and heart rate variability during movie viewing","Sonkusare S, Wegner K, Chang C, Dionisio S, Breakspear M, Cocchi L.","Netw Neurosci. 2023 Jun 30;7(2):557-577. doi: 10.1162/netn_a_00295. eCollection 2023.","Sonkusare S","Netw Neurosci","2023","2023/07/03","PMC10312263","","10.1162/netn_a_00295"
"37385988","Predictive neural representations of naturalistic dynamic input","de Vries IEJ, Wurm MF.","Nat Commun. 2023 Jun 29;14(1):3858. doi: 10.1038/s41467-023-39355-y.","de Vries IEJ","Nat Commun","2023","2023/06/29","PMC10310743","","10.1038/s41467-023-39355-y"
"37378009","EEG and peripheral markers of viewer ratings: a study of short films","Kosonogov V, Shelepenkov D, Rudenkiy N.","Front Neurosci. 2023 Jun 12;17:1148205. doi: 10.3389/fnins.2023.1148205. eCollection 2023.","Kosonogov V","Front Neurosci","2023","2023/06/28","PMC10291053","","10.3389/fnins.2023.1148205"
"37367134","Drying Process of HPMC-Based Hard Capsules: Visual Experiment and Mathematical Modeling","He C, Yang Y, Zhang M, Zhou K, Huang Y, Zhang N, Ye J, Arowo M, Zheng B, Zhang X, Xu H, Xiao M.","Gels. 2023 Jun 5;9(6):463. doi: 10.3390/gels9060463.","He C","Gels","2023","2023/06/27","PMC10298255","","10.3390/gels9060463"
"37296131","Waves traveling over a map of visual space can ignite short-term predictions of sensory input","Benigno GB, Budzinski RC, Davis ZW, Reynolds JH, Muller L.","Nat Commun. 2023 Jun 9;14(1):3409. doi: 10.1038/s41467-023-39076-2.","Benigno GB","Nat Commun","2023","2023/06/09","PMC10256723","","10.1038/s41467-023-39076-2"
"37214802","Microscale acoustic metamaterials as conformal sonotransparent skull prostheses","Kim G, Rabut C, Ling B, Shapiro M, Daraio C.","Res Sq. 2023 May 10:rs.3.rs-2743580. doi: 10.21203/rs.3.rs-2743580/v1. Preprint.","Kim G","Res Sq","2023","2023/05/22","PMC10197820","","10.21203/rs.3.rs-2743580/v1"
"37174917","An Instance Segmentation Model Based on Deep Learning for Intelligent Diagnosis of Uterine Myomas in MRI","Pan H, Zhang M, Bai W, Li B, Wang H, Geng H, Zhao X, Zhang D, Li Y, Chen M.","Diagnostics (Basel). 2023 Apr 24;13(9):1525. doi: 10.3390/diagnostics13091525.","Pan H","Diagnostics (Basel)","2023","2023/05/13","PMC10177878","","10.3390/diagnostics13091525"
"36936613","Dynamic Effective Connectivity using Physiologically informed Dynamic Causal Model with Recurrent Units: A functional Magnetic Resonance Imaging simulation study","Nag S, Uludag K.","Front Hum Neurosci. 2023 Mar 1;17:1001848. doi: 10.3389/fnhum.2023.1001848. eCollection 2023.","Nag S","Front Hum Neurosci","2023","2023/03/20","PMC10014816","","10.3389/fnhum.2023.1001848"
"36934622","Experimental induction of peritraumatic dissociation: The role of negative affect and pain and their psychophysiological and neural correlates","Danböck SK, Franke LK, Miedl SF, Liedlgruber M, Bürkner PC, Wilhelm FH.","Behav Res Ther. 2023 May;164:104289. doi: 10.1016/j.brat.2023.104289. Epub 2023 Mar 10.","Danböck SK","Behav Res Ther","2023","2023/03/19","","","10.1016/j.brat.2023.104289"
"36862110","Development and clinical application of a GPU-based Monte Carlo dose verification module and software for 1.5 T MR-LINAC","Cheng B, Xu Y, Li S, Ren Q, Pei X, Men K, Dai J, Xu XG.","Med Phys. 2023 May;50(5):3172-3183. doi: 10.1002/mp.16337. Epub 2023 Mar 14.","Cheng B","Med Phys","2023","2023/03/02","","","10.1002/mp.16337"
"36778481","Individual differences in time-varying and stationary brain connectivity during movie watching from childhood to early adulthood: age, sex, and behavioral associations","Di X, Xu T, Uddin LQ, Biswal BB.","bioRxiv. 2023 Jun 14:2023.01.30.526311. doi: 10.1101/2023.01.30.526311. Preprint.","Di X","bioRxiv","2023","2023/02/13","PMC9915503","","10.1101/2023.01.30.526311"
"36752641","Neural unscrambling of temporal information during a nonlinear narrative","Grall C, Equita J, Finn ES.","Cereb Cortex. 2023 May 24;33(11):7001-7014. doi: 10.1093/cercor/bhad015.","Grall C","Cereb Cortex","2023","2023/02/08","PMC10233248","","10.1093/cercor/bhad015"
"36741776","Dataset size considerations for robust acoustic and phonetic speech encoding models in EEG","Desai M, Field AM, Hamilton LS.","Front Hum Neurosci. 2023 Jan 20;16:1001171. doi: 10.3389/fnhum.2022.1001171. eCollection 2022.","Desai M","Front Hum Neurosci","2023","2023/02/06","PMC9895838","","10.3389/fnhum.2022.1001171"
"36590039","Current investigative modalities for detecting and staging lung cancers: a comprehensive summary","Philip B, Jain A, Wojtowicz M, Khan I, Voller C, Patel RSK, Elmahdi D, Harky A.","Indian J Thorac Cardiovasc Surg. 2023 Jan;39(1):42-52. doi: 10.1007/s12055-022-01430-2. Epub 2022 Dec 1.","Philip B","Indian J Thorac Cardiovasc Surg","2023","2023/01/02","PMC9794670","","10.1007/s12055-022-01430-2"
"36556891","Non-Volatile Memory and Synaptic Characteristics of TiN/CeO(x)/Pt RRAM Devices","Ha H, Pyo J, Lee Y, Kim S.","Materials (Basel). 2022 Dec 19;15(24):9087. doi: 10.3390/ma15249087.","Ha H","Materials (Basel)","2022","2022/12/23","PMC9786700","","10.3390/ma15249087"
"36542452","Disorganization of Semantic Brain Networks in Schizophrenia Revealed by fMRI","Matsumoto Y, Nishida S, Hayashi R, Son S, Murakami A, Yoshikawa N, Ito H, Oishi N, Masuda N, Murai T, Friston K, Nishimoto S, Takahashi H.","Schizophr Bull. 2023 Mar 15;49(2):498-506. doi: 10.1093/schbul/sbac157.","Matsumoto Y","Schizophr Bull","2023","2022/12/21","PMC10016409","","10.1093/schbul/sbac157"
"36501983","Feature Selection for Continuous within- and Cross-User EEG-Based Emotion Recognition","Bendrich N, Kumar P, Scheme E.","Sensors (Basel). 2022 Nov 29;22(23):9282. doi: 10.3390/s22239282.","Bendrich N","Sensors (Basel)","2022","2022/12/11","PMC9737269","","10.3390/s22239282"
"36453449","Emotional states as distinct configurations of functional brain networks","Dan R, Weinstock M, Goelman G.","Cereb Cortex. 2023 Apr 25;33(9):5727-5739. doi: 10.1093/cercor/bhac455.","Dan R","Cereb Cortex","2023","2022/12/01","","","10.1093/cercor/bhac455"
"36426782","Child emotion inhibition mediates the effect of parent's adaptive cognitive emotion regulation on child frontal EEG asymmetry during reappraisal","Meza-Cervera T, Tucker A, Liu R, Bell MA.","Dev Psychobiol. 2022 Dec;64(8):e22339. doi: 10.1002/dev.22339.","Meza-Cervera T","Dev Psychobiol","2022","2022/11/25","PMC9708094","NIHMS1841063","10.1002/dev.22339"
"36418674","Are inter-subject functional correlations consistent across different movies?","Ye M, Liu J, Guan Y, Ma H, Tian L.","Brain Imaging Behav. 2023 Feb;17(1):44-53. doi: 10.1007/s11682-022-00740-8. Epub 2022 Nov 23.","Ye M","Brain Imaging Behav","2023","2022/11/23","","","10.1007/s11682-022-00740-8"
"36248685","A hybrid learning framework for fine-grained interpretation of brain spatiotemporal patterns during naturalistic functional magnetic resonance imaging","Yu S, Shi E, Wang R, Zhao S, Liu T, Jiang X, Zhang S.","Front Hum Neurosci. 2022 Sep 30;16:944543. doi: 10.3389/fnhum.2022.944543. eCollection 2022.","Yu S","Front Hum Neurosci","2022","2022/10/17","PMC9563232","","10.3389/fnhum.2022.944543"
"36213738","Thalamo-cortical inter-subject functional correlation during movie watching across the adult lifespan","Niu J, Zheng Z, Wang Z, Xu L, Meng Q, Zhang X, Kuang L, Wang S, Dong L, Qiu J, Jiao Q, Cao W.","Front Neurosci. 2022 Sep 21;16:984571. doi: 10.3389/fnins.2022.984571. eCollection 2022.","Niu J","Front Neurosci","2022","2022/10/10","PMC9534554","","10.3389/fnins.2022.984571"
"36152565","Automatic recognition of schizophrenia from facial videos using 3D convolutional neural network","Huang J, Zhao Y, Qu W, Tian Z, Tan Y, Wang Z, Tan S.","Asian J Psychiatr. 2022 Nov;77:103263. doi: 10.1016/j.ajp.2022.103263. Epub 2022 Sep 17.","Huang J","Asian J Psychiatr","2022","2022/09/24","","","10.1016/j.ajp.2022.103263"
"36117636","A tale of two connectivities: intra- and inter-subject functional connectivity jointly enable better prediction of social abilities","Xie H, Redcay E.","Front Neurosci. 2022 Sep 1;16:875828. doi: 10.3389/fnins.2022.875828. eCollection 2022.","Xie H","Front Neurosci","2022","2022/09/19","PMC9475068","","10.3389/fnins.2022.875828"
"36085662","Multimodal Emotion Recognition in Response to Oil Paintings","Luo S, Lan YT, Peng D, Li Z, Zheng WL, Lu BL.","Annu Int Conf IEEE Eng Med Biol Soc. 2022 Jul;2022:4167-4170. doi: 10.1109/EMBC48229.2022.9871630.","Luo S","Annu Int Conf IEEE Eng Med Biol Soc","2022","2022/09/10","","","10.1109/EMBC48229.2022.9871630"
"35840823","Classifying oscillatory brain activity associated with Indian Rasas using network metrics","Pandey P, Tripathi R, Miyapuram KP.","Brain Inform. 2022 Jul 15;9(1):15. doi: 10.1186/s40708-022-00163-7.","Pandey P","Brain Inform","2022","2022/07/15","PMC9287523","","10.1186/s40708-022-00163-7"
"35815969","Topographical EEG Recordings of Visual Evoked Potentials in Mice using Multichannel Thin-film Electrodes","Land R, Sentis SC, Kral A.","J Vis Exp. 2022 Jun 23;(184). doi: 10.3791/64034.","Land R","J Vis Exp","2022","2022/07/11","","","10.3791/64034"
"35787304","Developmental changes in story-evoked responses in the neocortex and hippocampus","Cohen SS, Tottenham N, Baldassano C.","Elife. 2022 Jul 5;11:e69430. doi: 10.7554/eLife.69430.","Cohen SS","Elife","2022","2022/07/05","PMC9328767","","10.7554/eLife.69430"
"35741588","Cardiac-Brain Dynamics Depend on Context Familiarity and Their Interaction Predicts Experience of Emotional Arousal","Mishra S, Srinivasan N, Tiwary US.","Brain Sci. 2022 May 29;12(6):702. doi: 10.3390/brainsci12060702.","Mishra S","Brain Sci","2022","2022/06/24","PMC9220998","","10.3390/brainsci12060702"
