"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Link","ISSN","ISBN","CODEN","PubMed ID","Publication Stage","EID"
"Tan C.; Liu X.; Zhang G.","Tan, Chenhao (57475399600); Liu, Xin (57769933500); Zhang, Gaoyan (56999327300)","57475399600; 57769933500; 56999327300","Inferring Brain State Dynamics Underlying Naturalistic Stimuli Evoked Emotion Changes With dHA-HMM","2022","Neuroinformatics","20","3","","737","753","16","10.1007/s12021-022-09568-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125653187&doi=10.1007%2fs12021-022-09568-5&partnerID=40&md5=78ae77496ae1e080c77c9e1df5614919","15392791","","NEURK","35244856","Final","2-s2.0-85125653187"
"Kubota M.; Pollonini L.; Zouridakis G.","Kubota, Mikio (7401665168); Pollonini, Luca (6506914507); Zouridakis, George (6603944839)","7401665168; 6506914507; 6603944839","Local syntactic violations evoke fast mismatch-related neural activity detected by optical neuroimaging","2020","Experimental Brain Research","238","11","","2665","2684","19","10.1007/s00221-020-05922-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091168143&doi=10.1007%2fs00221-020-05922-8&partnerID=40&md5=d6212c215758154cae00857a8f253b93","00144819","","EXBRA","32945889","Final","2-s2.0-85091168143"
"Ojha A.; Miller J.G.; King L.S.; Davis E.G.; Humphreys K.L.; Gotlib I.H.","Ojha, Amar (57214130277); Miller, Jonas G. (55553889200); King, Lucy S. (56319283100); Davis, Elena G. (57200256454); Humphreys, Kathryn L. (57203198626); Gotlib, Ian H. (7005683237)","57214130277; 55553889200; 56319283100; 57200256454; 57203198626; 7005683237","Empathy for others versus for one's child: Associations with mothers’ brain activation during a social cognitive task and with their toddlers’ functioning","2022","Developmental Psychobiology","64","7","e22313","","","","10.1002/dev.22313","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140618165&doi=10.1002%2fdev.22313&partnerID=40&md5=622aa1dc4606b2e0dbc3eec43b2bfb68","00121630","","DEPBA","36282757","Final","2-s2.0-85140618165"
"Khosla M.; Ngo G.H.; Jamison K.; Kuceyeski A.; Sabuncu M.R.","Khosla, Meenakshi (57204811568); Ngo, Gia H. (57191331074); Jamison, Keith (52463743100); Kuceyeski, Amy (25630708400); Sabuncu, Mert R. (6603132006)","57204811568; 57191331074; 52463743100; 25630708400; 6603132006","Cortical response to naturalistic stimuli is largely predictable with deep neural networks","2021","Science Advances","7","22","eabe7547","","","","10.1126/sciadv.abe7547","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107006972&doi=10.1126%2fsciadv.abe7547&partnerID=40&md5=f54250353b2d3a0b7d30b3fbebb9c89e","23752548","","","34049888","Final","2-s2.0-85107006972"
"Zhang Y.; Xu Y.; Yao Z.; Ma J.","Zhang, Yin (57205652395); Xu, Ying (56727159800); Yao, Zhao (57205580862); Ma, Jun (36078057800)","57205652395; 56727159800; 57205580862; 36078057800","A feasible neuron for estimating the magnetic field effect","2020","Nonlinear Dynamics","102","3","","1849","1867","18","10.1007/s11071-020-05991-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092357910&doi=10.1007%2fs11071-020-05991-y&partnerID=40&md5=b2bb1e2c713d5fedb023a2cd0a7fd969","0924090X","","NODYE","","Final","2-s2.0-85092357910"
"Ravishankar S.; Toneva M.; Wehbe L.","Ravishankar, Srinivas (57220034443); Toneva, Mariya (55963154300); Wehbe, Leila (55235701100)","57220034443; 55963154300; 55235701100","Single-Trial MEG Data Can Be Denoised Through Cross-Subject Predictive Modeling","2021","Frontiers in Computational Neuroscience","15","","737324","","","","10.3389/fncom.2021.737324","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120707676&doi=10.3389%2ffncom.2021.737324&partnerID=40&md5=5cae36680873fd477ad5ffce6489b574","16625188","","","","Final","2-s2.0-85120707676"
"Denis J.; Dard R.F.; Quiroli E.; Cossart R.; Picardo M.A.","Denis, Julien (57197756204); Dard, Robin F. (57204778369); Quiroli, Eleonora (57218583405); Cossart, Rosa (6603262342); Picardo, Michel A. (35332691700)","57197756204; 57204778369; 57218583405; 6603262342; 35332691700","Deepcinac: A deep-learning-based python toolbox for inferring calcium imaging neuronal activity based on movie visualization","2020","eNeuro","7","4","ENEURO.0038-20.2020","1","15","14","10.1523/ENEURO.0038-20.2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089663056&doi=10.1523%2fENEURO.0038-20.2020&partnerID=40&md5=ff099ed3043b92fedc75d3476c43c494","23732822","","","32699072","Final","2-s2.0-85089663056"
"Yang S.; Xu K.; Guan S.; Zou L.; Gao L.; Wang J.; Tian H.; Li H.; Fang Y.; Li H.","Yang, Siting (57208328877); Xu, Ke (57385151500); Guan, Shouliang (57200289352); Zou, Liang (57208175737); Gao, Lei (58420615100); Wang, Jinfen (55798060800); Tian, Huihui (55566118300); Li, Hui (57216642311); Fang, Ying (56309136800); Li, Hongbian (36059429400)","57208328877; 57385151500; 57200289352; 57208175737; 58420615100; 55798060800; 55566118300; 57216642311; 56309136800; 36059429400","Polymer nanofiber network reinforced gold electrode array for neural activity recording","2023","Biomedical Engineering Letters","13","2","","111","118","7","10.1007/s13534-022-00257-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145503911&doi=10.1007%2fs13534-022-00257-5&partnerID=40&md5=778bf05f901f528b6ccfae69e2fa6776","20939868","","","","Final","2-s2.0-85145503911"
"Zhao S.; Tang X.; Tian W.; Partarrieu S.; Liu R.; Shen H.; Lee J.; Guo S.; Lin Z.; Liu J.","Zhao, Siyuan (58087962400); Tang, Xin (57833368600); Tian, Weiwen (58109984800); Partarrieu, Sebastian (57382045300); Liu, Ren (56902087600); Shen, Hao (58087962300); Lee, Jaeyong (57381512100); Guo, Shiqi (57382396700); Lin, Zuwan (57210469205); Liu, Jia (57307891800)","58087962400; 57833368600; 58109984800; 57382045300; 56902087600; 58087962300; 57381512100; 57382396700; 57210469205; 57307891800","Author Correction: Tracking neural activity from the same cells during the entire adult life of mice (Nature Neuroscience, (2023), 26, 4, (696-710), 10.1038/s41593-023-01267-x)","2023","Nature Neuroscience","26","6","","1129","","","10.1038/s41593-023-01329-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153081718&doi=10.1038%2fs41593-023-01329-0&partnerID=40&md5=be42045a73afbc769d86e1b62388ceeb","10976256","","NANEF","37085726","Final","2-s2.0-85153081718"
"Häusler C.O.; Hanke M.","Häusler, Christian Olaf (57193421076); Hanke, Michael (35859076500)","57193421076; 35859076500","A studyforrest extension, an annotation of spoken language in the German dubbed movie 'Forrest Gump' and its audio-description","2021","F1000Research","10","","54","","","","10.12688/f1000research.27621.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101983641&doi=10.12688%2ff1000research.27621.1&partnerID=40&md5=c8e1859c76fa8ec41ca8910fa3c6846c","20461402","","","33732435","Final","2-s2.0-85101983641"
